Área;#Avaliadores;#Av Elegiveis;#Av Isolados;#Regioes
administracao;43;3;1;15;
agronomia;354;3;1;28;
antropologia;68;29;8;19;
arqueologia;16;4;2;14;
arquitetura e urbanismo;37;17;14;14;
artes;49;31;26;14;
astronomia;45;3;0;12;
biofisica;41;7;2;12;
biologia geral;1;1;1;3;
biomedicina;11;4;2;7;
bioquimica;125;0;0;14;
biotecnologia;41;6;1;20;
botanica;82;4;2;20;
ciencia da computacao;139;7;3;21;
ciencia da informacao;16;4;1;12;
ciencia e tecnologia de alimentos;65;2;1;16;
ciencia politica;53;28;14;11;
ciencias ambientais;30;6;4;24;
comunicacao;51;14;6;14;
demografia;17;4;3;8;
desenho industrial;5;1;1;7;
direito;17;2;1;16;
divulgacao cientifica;4;3;3;11;
ecologia;98;4;1;23;
economia;78;28;10;15;
economia domestica;0;0;0;1;
educacao;182;51;13;22;
educacao fisica;41;3;1;10;
enfermagem;73;2;0;15;
engenharia aeroespacial;15;1;1;9;
engenharia agricola;57;2;1;18;
engenharia biomedica;40;18;7;12;
engenharia civil;126;14;2;20;
engenharia de energia;14;4;4;9;
engenharia de materiais e metalurgica;125;4;1;20;
engenharia de minas;9;2;0;5;
engenharia de producao;52;4;0;15;
engenharia de transportes;25;4;3;11;
engenharia eletrica;147;25;5;17;
engenharia mecanica;122;14;4;15;
engenharia mecatronica;3;1;1;4;
engenharia naval e oceanica;6;0;0;4;
engenharia nuclear;43;7;3;8;
engenharia quimica;62;1;0;12;
engenharia sanitaria;44;4;3;15;
farmacia;76;5;0;19;
farmacologia;106;8;1;20;
filosofia;77;49;35;17;
fisica;449;26;4;23;
fisiologia;94;9;1;13;
fisioterapia e terapia ocupacional;23;3;0;11;
fonoaudiologia;17;0;0;7;
genetica;137;10;2;17;
geociencias;213;12;1;22;
geografia;44;30;14;15;
historia;102;44;22;21;
imunologia;87;11;2;15;
letras;105;69;35;21;
linguistica;96;23;7;20;
matematica;141;40;10;18;
medicina;249;5;1;18;
medicina veterinaria;141;3;0;19;
microbiologia;97;9;0;16;
microeletronica;31;3;0;13;
morfologia;60;12;0;17;
museologia;1;0;0;3;
nutricao;38;3;0;12;
oceanografia;55;3;2;11;
odontologia;94;0;0;15;
parasitologia;77;2;1;16;
planejamento urbano e regional;37;24;14;15;
probabilidade e estatistica;33;5;1;11;
psicologia;117;9;4;20;
quimica;287;5;0;24;
quimica industrial;3;3;3;2;
recursos florestais e engenharia florestal;53;4;2;19;
recursos pesqueiros e engenharia de pesca;40;1;0;18;
robotica;9;5;5;12;
saude coletiva;106;8;2;19;
servico social;32;16;4;18;
sociologia;106;55;23;19;
teologia;1;0;0;6;
turismo;4;2;2;9;
zoologia;102;10;3;20;
zootecnia;103;1;0;20;
